,13C,15N,C/N
BLWD-C3-1-2,-27.4353023,1.1074239,13.64265472
BLWD-C3-2-3,-27.0347687,1.3000575,13.4799798
BLWD-C3-3-4,-26.5321383,1.1856813,12.43708234
BLWD-C3-4-5,-27.1918407,1.3883479,10.93714428
BLWD-C3-5-6,-26.8138862,1.3582489,9.6401813
BLWD-C3-6-7,-27.4205768,0.873655,12.43610448
BLWD-C3-7-8,-28.0282491,0.3980908,13.5786205
BLWD-C3-8-9,-27.5108932,-0.0634272,13.26426486
BLWD-C3-9-10,-26.2700244,0.4492591,11.83298646
BLWD-C3-10-11,-26.5684612,1.2408628,10.17610079
BLWD-C3-11-12,-28.6310129,1.044216,11.82294214
BLWD-C3-12-13,-28.3875513,1.0602688,13.71695613
BLWD-C3-13-14,-28.1568518,0.7964009,14.43575961
BLWD-C3-14-15,-27.9938896,1.1786582,14.42248371
BLWD-C3-15-16,-27.9821092,1.0803348,14.00527715
BLWD-C3-16-17,-28.0979498,0.7392128,15.52913745
BLWD-C3-17-18,-27.7249038,0.8264999,15.63073315
BLWD-C3-18-19,-27.436284,1.2107638,14.4667777
BLWD-C3-19-20,-27.1853905,0.386681,12.09651839
BLWD-C3-20-21,-26.9066445,0.4549938,11.83235258
BLWD-C3-21-22,-27.4366545,0.316359,16.0092612
BLWD-C3-22-23,-27.054851,0.7824934,15.39059467
BLWD-C3-23-24,-27.363042,0.1948024,13.96585373
BLWD-C3-24-25,-28.0216285,0.482118,13.25299542
BLWD-C3-25-26,-27.64964,1.3922856,10.66627409
BLWD-C3-26-27,-26.379579,2.0623538,11.57498038
BLWD-C3-27-28,-25.4442095,2.446111,11.52955899
BLWD-C3-28-29,-25.5345075,2.2572462,11.92141428
BLWD-C3-29-30,-25.9094405,1.727822,14.32602564
BLWD-C3-30-31,-26.4237465,1.552017,13.4782143
BLWD-C3-31-32,-26.821254,0.9552846,16.46415214
BLWD-C3-32-33,-26.2745585,0.6820334,19.7464268
BLWD-C3-33-34,-26.538582,1.1310896,15.92943532
BLWD-C3-34-35,-25.9545895,1.6504678,10.78268139
BLWD-C3-35-36,-26.524841,1.0205836,15.83398202
BLWD-C3-36-37,-27.3228005,1.2335588,13.81603696
BLWD-C3-37-38,-27.323782,0.7764658,15.5815688
BLWD-C3-38-39,-27.9293675,0.9884364,16.57619888
BLWD-C3-39-40,-26.5111,1.3872626,17.35922646
BLWD-C3-40-41,-27.0322765,0.8277004,19.0634616
BLWD-C3-41-42,-26.9400155,0.5484216,20.43904673
BLWD-C3-42-43,-27.04111,0.793544,17.96917442
BLWD-C3-43-44,-27.525971,0.8508062,17.64459782
BLWD-C3-44-45,-29.4035805,1.652477,14.20917426
BLWD-C3-45-46,-28.0765925,1.9407972,13.17138708
BLWD-C3-46-47,-28.3415975,1.1130068,16.08020226
BLWD-C3-47-48,-28.3573015,1.2878072,14.19557916
BLWD-C3-48-49,-27.091661,1.3952448,13.1049966
BLWD-C3-49-50,-26.6513716,1.0987164,15.34929653
BLWD-C3-50-51,-27.0955834,0.8042052,16.48732138
BLWD-C3-51-52,-27.121079,0.8859018,15.79033167
BLWD-C3-52-53,-26.8602394,-0.2840742,19.2001939
BLWD-C3-53-54,-27.1975658,0.8354718,13.59138799
BLWD-C3-54-55,-27.2260032,0.787059,15.01810075
BLWD-C3-55-56,-26.6464686,0.7275516,15.96075767
BLWD-C3-56-57,-27.125982,0.5470122,15.19380175
BLWD-C3-57-58,-27.3985888,0.3341976,15.69589033
BLWD-C3-58-59,-28.1938554,1.0331574,14.9089108
BLWD-C3-59-60,-28.4605786,0.6922506,17.70702426
BLWD-C3-60-61,-28.0202892,1.2136968,13.05561214
BLWD-C3-61-62,-27.7702362,0.6377862,15.05636828
BLWD-C3-62-63,-26.1924508,1.704885,15.35439048
BLWD-C3-63-64,-26.8229766,2.5511004,13.24165883
BLWD-C3-64-65,-26.5386026,1.8440718,17.52108945
BLWD-C3-65-66,-26.1169446,2.274744,12.1919264
BLWD-C3-66-67,-26.459174,1.6726098,15.24485239
BLWD-C3-67-68,-26.753354,1.7664096,18.17621914
BLWD-C3-68-69,-27.2652272,1.936863,15.5487557
BLWD-C3-69-70,-28.9038098,2.3171052,13.31331107
BLWD-C3-70-71,-28.2252346,2.5228596,10.94786578
BLWD-C3-71-72,-27.1318656,2.3624922,15.07094059
BLWD-C3-72-73,-28.8881202,4.9394652,15.537917
BLWD-C3-73-74,-28.9685294,4.4472684,14.91702668
BLWD-C3-78-79,-28.484113,4.307073,0
BLWD-C3-79-80,-27.8349558,4.0357596,18.75501103
BLWD-C3-80-81,-27.243654,2.7165108,18.52749432
BLWD-C3-81-82,-29.5802864,2.9517534,18.56229259
BLWD-C3-82-83,-30.6835216,3.7395402,19.67877299
BLWD-C3-83-84,-29.869112,4.9877088,20.17216205
BLWD-C3-84-85,-26.7942,4.4598312,16.09369709
BLWD-C3-85-86,-29.0969456,4.2261144,14.59758203
BLWD-C3-86-87,-27.373816,3.5068308,19.69442431
BLWD-C3-87-88,-26.4955504,3.0948042,21.27766178
BLWD-C3-88-89,-27.982904,3.3214692,15.00003883
BLWD-C3-89-90,-29.8091856,4.089108,17.3435264
BLWD-C3-90-91,-30.9084912,2.8661244,21.76819005
BLWD-C3-91-92,-29.2983376,3.927924,17.77690792
BLWD-C3-92-93,-24.2831856,3.2902398,23.37856892
BLWD-C3-93-94,-28.582168,3.807036,19.57630746
BLWD-C3-94-95,-29.9388624,3.7254366,17.92386256
BLWD-C3-95-96,-30.92028,3.6831258,20.28848883
BLWD-C3-96-97,-28.9957584,3.8997168,16.37609201
BLWD-C3-97-98,-29.8023088,4.0598934,15.42979747
BLWD-C3-98-99,-28.4858928,3.943035,18.13496897
BLWD-C3-99-100,-30.7080816,3.6075708,16.47216536
BLWD-C3-100-101,-34.285,3.5632452,15.97955389
BLWD-C3-101-102,-30.8298992,3.177411,22.49297858
BLWD-C3-102-103,-28.1224048,2.96082,19.15912846
BLWD-C3-103-104,-30.5116016,3.7345032,24.11030425
BLWD-C3-104-105,-29.2629712,3.3003138,15.61353346
BLWD-C3-105-106,-28.5556432,2.7673992,19.89801901
BLWD-C3-106-107,-29.5046416,2.6928516,22.65219115
BLWD-C3-107-108,-28.0035344,2.6978886,19.14112966
BLWD-C3-108-109,,1.8909612,32.57699347
BLWD-C3-109-110,-35.945256,1.5968004,36.10742427
BLWD-C3-110-111,-27.363421,1.49741,43.60424349
BLWD-C3-111-112,-27.888256,3.2033,30.2580341
BLWD-C3-112-113,-28.468027,3.31945,20.49714363
BLWD-C3-113-114,-29.152765,3.9911,18.71790214
